LogDate;LogTime;HOOKLOAD_AVG tonfUS;TOT_SPM spm;STP_PRS_1 psi;ROP m/h;WOB tonfUS;ROT_TORQUE kN*m;ACT_VOL m³;FLOW_OUT_REL %;GAINLOSS m³;DENS_IN lbm/galUS;DENS_OUT lbm/galUS;BIT_DPT_MD m;TOT_DPT_MD m;BLOCK_POS m;TOTAL_VOL m³
5-Dec-2016;11:36:56.8950;61.8009478191611;166.655085528115;2244.45909649498;8.682156;9.52725363207266;1.89348;143.088404836133;0;4.38050924241543;8.88677753736798;8.98003801646741;1328.39711893862;1328.75928410189;8.95258629275486;143.126532982104
5-Dec-2016;11:37:04.0930;61.9452425866946;166.67960479121;2244.74476947112;8.682156;9.35044762319044;1.89348;143.117117370479;0;4.41318865958601;8.88677753736798;8.98003801646741;1328.41375836683;1328.7776809521;8.93430024618283;143.153480567969
5-Dec-2016;11:37:11.2910;61.9785696798068;166.767731443859;2245.07434787934;8.682156;9.29557638144678;1.89348;143.148766509257;0;4.44387058075517;8.88677753736798;8.98003801646741;1328.43039779505;1328.79511712817;8.91687285760418;143.182233924046
5-Dec-2016;11:37:18.4900;61.7741912183242;166.992127347009;2245.49802446355;8.682156;9.5019009483029;1.89348;143.186710708775;0;4.47027781419456;8.88677753736798;8.98003801646741;1328.44703953527;1328.81049781246;8.90128242829815;143.214859521016
5-Dec-2016;11:37:25.6880;61.5698411461064;167.216492068731;2245.92164216159;8.682156;9.70819685146918;1.89348;143.224649637938;0;4.49668138008565;8.88677753736798;8.98003801646741;1328.46367896302;1328.82587635983;8.88569416524842;143.24748058524
5-Dec-2016;11:37:32.8870;61.3654626777632;167.440887971881;2246.3453187458;8.682156;9.91452142518592;1.89348;143.262593838386;0;4.52308861352503;8.88677753736798;8.98003801646741;1328.48032070324;1328.84125704411;8.87010373640805;143.280106183141
5-Dec-2016;11:37:40.0850;61.1611126055454;167.665252700587;2246.76893646154;8.682156;10.1208173283522;1.89348;143.300532766618;0;4.5494921784848;8.88677753736798;8.98003801646741;1328.49696013145;1328.85663559148;8.85451547335833;143.312727247365
5-Dec-2016;11:37:47.2840;61.1864014237602;167.718730624162;2246.84174589586;8.682156;10.0938676077917;1.89348;143.327063811012;0;4.57221150863916;8.88677753736798;8.98003801646741;1328.51360187121;1328.86772331689;8.84334820485674;143.335592572112
5-Dec-2016;11:37:54.4820;61.4854450963598;167.568470634231;2246.49631924595;8.682156;9.7888637606564;1.89348;143.339986938052;0;4.59053178410977;8.88677753736798;8.98003801646741;1328.53024129989;1328.87369239028;8.83745479839854;143.346820690669
5-Dec-2016;11:38:01.6810;61.7845303031811;167.41818977055;2246.15084462487;8.682156;9.48381755602439;1.89348;143.352911860216;0;4.608854603488;8.88677753736798;8.98003801646741;1328.54688303964;1328.87966229254;8.8315605733078;143.358050368261
5-Dec-2016;11:38:08.8790;62.0835739689201;167.267929784111;2245.80541799265;8.682156;9.17881370888905;1.89348;143.365834986791;0;4.62717487802729;8.88677753736798;8.98003801646741;1328.56352246786;1328.8856313657;8.82566716708243;143.369278486352
5-Dec-2016;11:38:16.0780;62.382659182602;167.117648916939;2245.45994336272;8.682156;8.87376749053579;1.89348;143.378759909421;0;4.64549769833684;8.88677753736798;8.98003801646741;1328.58016420808;1328.8916012682;8.81977294175886;143.38050816441
5-Dec-2016;11:38:23.2760;62.681702848341;166.9673889305;2245.11451673051;8.682156;8.56876364340044;1.89348;143.391683035996;0;4.66381797287613;8.88677753736798;8.98003801646741;1328.59680363629;1328.89757034136;8.81387953553349;143.391736282501
5-Dec-2016;11:38:30.4750;62.5055332310024;166.757671421156;2245.34409713821;8.682156;8.74279510589935;1.89348;143.375836296938;0;4.64924265723675;8.88677753736798;8.98003801646741;1328.61344537558;1328.90963108139;8.80186327686533;143.387077142484
5-Dec-2016;11:38:37.6730;62.1797578547729;166.529269874192;2245.75469725611;8.682156;9.06763624342616;1.89348;143.350933227688;0;4.62431164737791;8.88677753736798;8.98003801646741;1328.63008480472;1328.92360779829;8.78792121261358;143.377416181145
5-Dec-2016;11:38:44.8720;61.8539372258631;166.300836601085;2246.16535438348;8.682156;9.39252249642076;1.89348;143.326026698574;0;4.59937717486173;8.88677753736798;8.98003801646741;1328.64672654402;1328.93758645607;8.77397721260786;143.36775387777
5-Dec-2016;11:38:52.0700;61.5281618496335;166.072435061105;2246.57595446597;8.682156;9.71736360650508;1.89348;143.301123630255;0;4.57444616593421;8.88677753736798;8.98003801646741;1328.66336597223;1328.95156317251;8.76003514928743;143.358092916664
5-Dec-2016;11:38:59.2680;61.3367827591177;166.267215988828;2243.96164247522;8.682156;9.9160876612022;1.89348;143.346140876412;0;4.62019618600607;8.88677753736798;8.98003801646741;1328.68000540044;1328.96271193598;8.74881517002359;143.391709215939
5-Dec-2016;11:39:06.4670;61.4454171453824;166.978232354293;2238.13896128082;8.63776531041367;9.84261911836848;1.89348;143.470136421733;0;4.74730900581926;8.88677753736798;8.98003801646741;1328.69664714066;1328.96884234669;8.74251830158755;143.469692361541
5-Dec-2016;11:39:13.6650;61.5691096285715;166.914720589241;2238.77684722858;8.50824598164763;9.77292221080332;1.89348;143.454041795339;0;4.73573234304786;8.88677753736798;8.98003801646741;1328.71328656888;1328.97713550134;8.73431748850271;143.452302095015
5-Dec-2016;11:39:20.8640;61.6928192976255;166.851200000509;2239.41482180658;8.37870865470904;9.7032156177513;1.89348;143.437944932375;0;4.72415407188237;8.88677753736798;8.98003801646741;1328.7299283091;1328.98542980803;8.72611553571187;143.434909412172
5-Dec-2016;11:39:28.0620;61.8165117808146;166.787688235457;2240.05270775434;8.24918932594301;9.63351870847098;1.89348;143.421850305516;0;4.71257740911096;8.88677753736798;8.98003801646741;1328.74656773731;1328.99372296268;8.7179147223942;143.417519145645
5-Dec-2016;11:39:35.2610;61.9402214464382;166.72416764847;2240.69068231464;8.1196520022786;9.56381211884927;1.89348;143.405753443018;0;4.70099913794547;8.88677753736798;8.98003801646741;1328.76320947707;1329.00201726914;8.70971277006902;143.400126463268
5-Dec-2016;11:39:42.4590;61.8685807489604;166.447754378358;2244.03955224714;8.070367;9.53098246690548;1.89348;143.364771142602;0;4.65432741679251;8.88677753736798;8.98003801646741;1328.77984890575;1329.01084009977;8.70090555725619;143.368848877959
5-Dec-2016;11:39:49.6580;61.6481412495553;166.169597467561;2248.1852728055;8.070367;9.60193661524155;1.88129934692383;143.341343160719;0;4.62138874083757;8.88677753736798;8.98003801646741;1328.79649064504;1329.02219456946;8.68965748511255;143.354486409575
5-Dec-2016;11:39:56.8560;61.3315428918561;166.322837050738;2249.4262950244;8.070367;9.94400803323077;1.82841856002808;143.427686214447;0;4.70641054213047;8.88677753736798;8.98003801646741;1328.81313007325;1329.04091552598;8.67150374827906;143.425171185285
5-Dec-2016;11:40:04.0550;61.0149005301104;166.476097919693;2250.66748968807;8.070367;10.2861269816277;1.77553042411804;143.51404126361;0;4.7914441563189;8.88677753736798;8.98003801646741;1328.82977181347;1329.05963908462;8.65334748895839;143.495865782723
5-Dec-2016;11:40:11.2530;60.6983021724112;166.62933750287;2251.90851190696;8.070367;10.6281983996169;1.72264963722229;143.600384313613;0;4.8764659576118;8.88677753736798;8.98003801646741;1328.84641124168;1329.07836004114;8.63519375212491;143.566550558433
5-Dec-2016;11:40:18.4520;60.3816598243868;166.782598371825;2253.14970653522;8.070367;10.9703173480138;1.6697615032196;143.686739362776;0;4.96149957180023;8.88677753736798;8.98003801646741;1328.86305298144;1329.09708359884;8.61703749326989;143.637245154008
5-Dec-2016;11:40:25.6500;60.0877869016856;166.928365498521;2254.10368758623;8.070367;11.2812405024445;1.621656;143.764143311419;0;5.03705192590132;8.88677753736798;8.98003801646741;1328.87969241012;1329.11534273811;8.59922358533368;143.700992690632
5-Dec-2016;11:40:32.8490;60.0228376218534;166.9988660535;2252.16579147852;8.070367;11.2783803574409;1.621656;143.751494322438;0;5.01720775291324;8.88677753736798;8.98003801646741;1328.89633414987;1329.12895147922;8.58483106829226;143.694854700938
5-Dec-2016;11:40:40.0470;59.9578973654578;167.069356814088;2250.22816448381;8.070367;11.275520609603;1.621656;143.738847090397;0;4.99736633663997;8.88677753736798;8.98003801646741;1328.91297357809;1329.14255832974;8.57044055033475;143.688717563637
5-Dec-2016;11:40:47.2450;59.8929571073471;167.139847576423;2248.29053755992;8.070367;11.2726608617652;1.621656;143.726199858356;0;4.97752491990104;8.88677753736798;8.98003801646741;1328.9296130063;1329.15616518073;8.55605003237724;143.682580426568
5-Dec-2016;11:40:54.4440;59.8361826014006;167.181047199749;2247.13635467184;8.070367;11.2721112941066;1.621656;143.727673828602;0;4.97298476845026;8.88677753736798;8.98003801646741;1328.94625474652;1329.16951772314;8.54196417564526;143.691361583769
5-Dec-2016;11:41:01.6420;59.9037693952142;166.776519613458;2257.90406017482;8.070367;11.3067099602635;1.621656;143.943983949721;0;5.20124775916338;8.88677753736798;8.98003801646741;1328.96289417474;1329.17897114437;8.5325451514218;143.927089318633
5-Dec-2016;11:41:08.8410;59.7758946855221;166.587353151584;2264.47348133063;8.070367;11.4478028699794;1.621656;144.01404159746;0;5.27582919436099;8.88677753736798;8.98003801646741;1328.97953591449;1329.19542904804;8.51611382234842;144.001802694169
5-Dec-2016;11:41:16.0390;59.5528391681877;166.503125915514;2268.99660504147;8.070367;11.6407388523407;1.621656;144.01284673193;0;5.2755385632845;8.88677753736798;8.98003801646741;1328.99617534271;1329.21529536089;8.49627026822418;143.99807224446
5-Dec-2016;11:41:23.2380;59.3297526614117;166.418886978551;2273.52035720199;8.070367;11.8337016391626;1.621656;144.011651700421;0;5.27524789183371;8.88677753736798;8.98003801646741;1329.01281708246;1329.23516443372;8.47642395738512;143.994341276586
5-Dec-2016;11:41:30.4360;59.1066971372167;166.334659742481;2278.04348105447;8.070367;12.0266376283845;1.621656;144.010456834832;0;5.27495726074267;8.88677753736798;8.98003801646741;1329.02945651114;1329.2550307475;8.45658040232956;143.990610826761
5-Dec-2016;11:41:37.6350;58.8836106304407;166.25042080901;2282.56723321499;8.070367;12.2196004083458;1.621656;144.009261803323;0;5.27466658929188;8.88677753736798;8.98003801646741;1329.0460982509;1329.27489981987;8.43673409149051;143.986879858887
5-Dec-2016;11:41:44.8330;58.8581708235984;166.196678820986;2284.37483819227;8.070367;12.2597229879192;1.621656;143.964903607965;0;5.2313534617424;8.88677753736798;8.98003801646741;1329.06273767911;1329.29339983151;8.41821255232207;143.942558601499
5-Dec-2016;11:41:52.0320;60.3429298144073;166.375901207583;2265.4303763443;8.070367;11.1320331659694;1.621656;143.590679854155;0;4.85925133526325;8.88677753736798;8.98003801646741;1329.07937941933;1329.30146097369;8.40979143232107;143.588031381369
5-Dec-2016;11:41:59.2300;60.47932921214;166.367110133711;2258.10567552793;8.070367;10.9488992633605;1.621656;143.56483179424;0;4.8369516171515;8.88677753736798;8.98003801646741;1329.09601884754;1329.31862371229;8.39260372007266;143.550720843952
5-Dec-2016;11:42:06.4290;60.4062461849576;166.329104653159;2252.58524509548;8.070367;10.9124983917173;1.621656;143.593109239824;0;4.86899963114411;8.88677753736798;8.98003801646741;1329.1126605873;1329.33720338671;8.37405112106353;143.562692555133
5-Dec-2016;11:42:13.6270;60.3331733063542;166.291104449531;2247.0655813518;8.070367;10.8761025754969;1.621656;143.621382758953;0;4.90104319341481;8.88677753736798;8.98003801646741;1329.12930001598;1329.3557804809;8.35550109809265;143.574662603904
5-Dec-2016;11:42:20.8260;60.2600902774566;166.253098968978;2241.54515091934;8.070367;10.8397017047112;1.621656;143.649660205469;0;4.93309120740741;8.88677753736798;8.98003801646741;1329.14594175527;1329.37436015485;8.33694849908352;143.586634315085
5-Dec-2016;11:42:28.0240;60.1870174005684;166.215098767969;2236.0254873173;8.070367;10.8033058893484;1.621656;143.677933723666;0;4.96513476874679;8.88677753736798;8.98003801646741;1329.16258118348;1329.39293724857;8.31839847704396;143.598604363389
5-Dec-2016;11:42:35.2220;60.3730268739739;166.435115270922;2237.12758097611;8.070367;10.6765026857372;1.621656;143.656853713095;0;4.94678536430001;8.88677753736798;8.98003801646741;1329.1792206117;1329.40046329657;8.31084553478286;143.601648328011
