t,TDS_p,F_tot ,F_p,V_rej,Rec_tot,Rec_mem,TDS_rej,TDS_mem,F_mem
0.0,0.5499999999999999,0.0,0.9081861201763002,0.0,0.9508688190486195,0.6474915281783428,0.4689709347996858,0.2915681639085894,0.6444444444444444
0.00214477211796249,0.35,0.0020197939810139287,0.9297042102454471,0.003417197044124576,0.9103183117678346,0.6561147279520163,0.3472113118617439,0.23089046493301807,0.6444444444444444
0.00214477211796249,0.35,0.0020197939810139287,1.0,0.003417197044124576,0.9103183117678346,0.6830643489414899,0.3472113118617439,0.22616233254531123,0.6444444444444444
0.0048257372654155195,0.35,0.005049484952534822,0.9855293234251594,0.006834394088249152,0.9253043688063856,0.677663848428918,0.47211311861743915,0.26241134751773043,0.6444444444444444
0.00697050938337801,0.35,0.007069278933548806,0.9461658257619581,0.009397291871342639,0.9253043688063856,0.6625902406177805,0.43126472898664575,0.2655634357762017,0.6444444444444444
0.00697050938337801,0.35,0.007069278933548806,0.995842234893344,0.009397291871342639,0.9253043688063856,0.6815202266503908,0.43126472898664575,0.206461780929866,0.6444444444444444
0.009651474530831095,0.35,0.010098969905069699,0.9050456533739667,0.012814488915467104,0.9311378675193785,0.6462176760556733,0.46032992930086414,0.27029156816390854,0.6444444444444444
0.011796246648793529,0.35,0.012118763886083628,0.8758971162953771,0.015377386698560591,0.9303578066449669,0.6342028855041463,0.39041633935585235,0.2734436564223798,0.6444444444444444
0.011796246648793529,0.35,0.012118763886083628,0.9644024673677836,0.015377386698560591,0.9303578066449669,0.6696444949449885,0.39041633935585235,0.1048069345941686,0.6444444444444444
0.01447721179624667,0.29999999999999993,0.01514845485760452,0.9079897396733454,0.019221733373200656,0.9295135276840416,0.6474119870414737,0.4139827179890024,0.2899921197793538,0.6444444444444444
0.01662198391420916,0.29999999999999993,0.01716824883861845,0.9012121218411704,0.022211780786809687,0.9253043688063856,0.6446573303793761,0.39984289080911234,0.3104806934594168,0.6444444444444444
0.01662198391420916,0.24999999999999997,0.01716824883861845,0.915176002492048,0.022211780786809687,0.9253043688063856,0.6503126769155898,0.39984289080911234,0.31284475965327024,0.6444444444444444
0.01930294906166219,0.24999999999999997,0.020197939810139343,0.8446513555289998,0.025628977830934152,0.9285967601254612,0.6209274326833164,0.4532600157109191,0.3089046493301812,0.6444444444444444
0.02144772117962468,0.24999999999999997,0.02221773379115327,0.8567383382273694,0.02776472598351204,0.9313720219179804,0.6261126640131326,0.41084053417124905,0.31442080378250586,0.6444444444444444
0.02144772117962468,0.44999999999999996,0.02221773379115327,0.9415768662669621,0.02776472598351204,0.9313720219179804,0.6607954828761138,0.41084053417124905,0.15839243498817962,0.6444444444444444
0.02412868632707771,0.4999999999999999,0.02524742476267422,0.9069797113649467,0.03160907265815216,0.93071989097608,0.647002645745893,0.48153967007069914,0.33333333333333326,0.6444444444444444
0.0262734584450402,0.44999999999999996,0.02726721874368815,0.8925557999549416,0.03494083977617363,0.9258083939198886,0.6411121039374666,0.6229379418695994,0.36249014972419225,0.6444444444444444
0.0262734584450402,0.44999999999999996,0.02726721874368815,0.9138152900979,0.03878518645081369,0.9034128876602026,0.6497650082331412,0.6229379418695994,0.34909377462568947,0.6444444444444444
0.02895442359249334,0.39999999999999997,0.03029690971520904,0.8756991037165183,0.04220238349493838,0.907621290548064,0.6341200652595433,0.6936370777690495,0.379826635145784,0.6444444444444444
0.031099195710455718,0.35,0.032316703696223026,0.8452422274315636,0.04485071120413481,0.9081985128017421,0.6211823964810316,0.7014925373134329,0.38061465721040183,0.6444444444444444
