Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
China,Yongzhou,105,Unhealthy For Sensitive Groups,4,Good,84,Moderate,5,Good,105,Unhealthy For Sensitive Groups
Russian Federation,Zainsk,28,Good,1,Good,28,Good,0,Good,17,Good
Russian Federation,Zapolyarnyy,33,Good,1,Good,33,Good,0,Good,9,Good
Poland,Zdzieszowice,39,Good,1,Good,29,Good,1,Good,39,Good
Russian Federation,Zelenchukskaya,42,Good,1,Good,42,Good,0,Good,7,Good
China,Zhoucun,123,Unhealthy For Sensitive Groups,2,Good,123,Unhealthy For Sensitive Groups,4,Good,94,Moderate
Germany,Zschopau,32,Good,0,Good,32,Good,1,Good,26,Good
Netherlands,Zutphen,32,Good,1,Good,32,Good,2,Good,32,Good
Ukraine,Zvenyhorodka,54,Moderate,1,Good,42,Good,0,Good,54,Moderate
Republic Of Moldova,Soroca,36,Good,1,Good,36,Good,0,Good,23,Good
Russian Federation,Sosnogorsk,33,Good,1,Good,33,Good,0,Good,17,Good
United States Of America,South Yarmouth,35,Good,1,Good,35,Good,2,Good,30,Good
United States Of America,Southbury,81,Moderate,3,Good,5,Good,34,Good,81,Moderate
Russian Federation,Sovetskiy,28,Good,1,Good,28,Good,0,Good,3,Good
United States Of America,Spanish Lake,55,Moderate,1,Good,40,Good,5,Good,55,Moderate
India,Srinagar,115,Unhealthy For Sensitive Groups,1,Good,53,Moderate,0,Good,115,Unhealthy For Sensitive Groups
Germany,Stade,33,Good,0,Good,33,Good,1,Good,12,Good
Ukraine,Starokostyantyniv,35,Good,1,Good,35,Good,1,Good,30,Good
Romania,Stefanesti,39,Good,1,Good,39,Good,0,Good,16,Good
Ukraine,Sudak,42,Good,1,Good,42,Good,0,Good,14,Good
Egypt,Suez,79,Moderate,1,Good,58,Moderate,2,Good,79,Moderate
China,Sujiatun,123,Unhealthy For Sensitive Groups,4,Good,86,Moderate,6,Good,123,Unhealthy For Sensitive Groups
Peru,Sullana,45,Good,1,Good,17,Good,1,Good,45,Good
United States Of America,San Angelo,34,Good,1,Good,27,Good,0,Good,34,Good
Italy,San Cataldo,57,Moderate,1,Good,46,Good,0,Good,57,Moderate
Italy,San Giovanni Rotondo,48,Good,1,Good,48,Good,1,Good,25,Good
Philippines,San Pedro,56,Moderate,1,Good,25,Good,2,Good,56,Moderate
